Rank,Song,Artist(s),Streams(billions),Release date
1,"""Blinding Lights""",The Weeknd,4.723,29 November 2019
2,"""Shape of You""",Ed Sheeran,4.236,6 January 2017
3,"""Someone You Loved""",Lewis Capaldi,3.810,8 November 2018
4,"""As It Was""",Harry Styles,3.771,1 April 2022
5,"""Starboy""",The Weeknd and Daft Punk,3.761,21 September 2016
6,"""Sunflower""",Post Malone and Swae Lee,3.719,18 October 2018
7,"""Sweater Weather""",The Neighbourhood,3.596,3 December 2012
8,"""One Dance""",Drake with Wizkid and Kyla,3.540,5 April 2016
9,"""Stay""",The Kid Laroi and Justin Bieber,3.474,9 July 2021
10,"""Believer""",Imagine Dragons,3.337,1 February 2017
11,"""Perfect""",Ed Sheeran,3.310,26 September 2017
12,"""Heat Waves""",Glass Animals,3.299,29 June 2020
13,"""Dance Monkey""",Tones and I,3.219,10 May 2019
14,"""Lovely""",Billie Eilish and Khalid,3.208,19 April 2018
15,"""Say You Won't Let Go""",James Arthur,3.175,9 September 2016
16,"""Closer""",The Chainsmokers and Halsey,3.160,29 July 2016
17,"""Rockstar""",Post Malone and 21 Savage,3.125,15 September 2017
18,"""Something Just Like This""",The Chainsmokers and Coldplay,3.028,22 February 2017
19,"""Riptide""",Vance Joy,2.983,21 May 2013
20,"""Watermelon Sugar""",Harry Styles,2.943,13 December 2019
21,"""Señorita""",Shawn Mendes and Camila Cabello,2.942,21 June 2019
22,"""Take Me to Church""",Hozier,2.915,13 September 2013
23,"""Another Love""",Tom Odell,2.902,15 October 2012
24,"""Don't Start Now""",Dua Lipa,2.856,31 October 2019
25,"""I Wanna Be Yours""",Arctic Monkeys,2.856,9 September 2013
26,"""Yellow""",Coldplay,2.850,26 June 2000
27,"""Counting Stars""",OneRepublic,2.843,14 June 2013
28,"""Lucid Dreams""",Juice Wrld,2.810,4 May 2018
29,"""Photograph""",Ed Sheeran,2.810,11 May 2015
30,"""The Night We Met""",Lord Huron,2.794,7 April 2015
31,"""Cruel Summer""",Taylor Swift,2.778,23 August 2019
32,"""Can't Hold Us""",Macklemore & Ryan Lewis with Ray Dalton,2.754,16 August 2011
33,"""Circles""",Post Malone,2.744,30 August 2019
34,"""Goosebumps""",Travis Scott,2.742,13 December 2016
35,"""Bohemian Rhapsody""",Queen,2.715,31 October 1975
36,"""God's Plan""",Drake,2.715,19 January 2018
37,"""Thinking Out Loud""",Ed Sheeran,2.698,14 August 2014
38,"""Love Yourself""",Justin Bieber,2.687,27 December 2015
39,"""Shallow""",Lady Gaga and Bradley Cooper,2.684,27 September 2018
40,"""Bad Guy""",Billie Eilish,2.679,29 March 2019
41,"""Die for You""",The Weeknd,2.671,25 November 2016
42,"""Thunder""",Imagine Dragons,2.642,27 April 2017
43,"""All of Me""",John Legend,2.637,12 August 2013
44,"""Wake Me Up""",Avicii,2.624,17 June 2013
45,"""Viva La Vida""",Coldplay,2.602,25 May 2008
46,"""Demons""",Imagine Dragons,2.595,28 January 2013
47,"""Just the Way You Are""",Bruno Mars,2.590,20 July 2010
48,"""The Hills""",The Weeknd,2.574,27 May 2015
49,"""Stressed Out""",Twenty One Pilots,2.570,28 April 2015
50,"""When I Was Your Man""",Bruno Mars,2.529,15 January 2013
51,"""Without Me""",Eminem,2.527,14 May 2002
52,"""That's What I Like""",Bruno Mars,2.519,30 January 2017
53,"""Humble""",Kendrick Lamar,2.518,30 March 2017
54,"""Mr. Brightside""",The Killers,2.515,29 September 2003
55,"""Locked out of Heaven""",Bruno Mars,2.515,1 October 2012
56,"""No Role Modelz""",J. Cole,2.505,9 December 2014
57,"""Every Breath You Take""",The Police,2.488,20 May 1983
58,"""Do I Wanna Know?""",Arctic Monkeys,2.478,19 June 2013
59,"""Let Her Go""",Passenger,2.478,24 July 2012
60,"""7 Rings""",Ariana Grande,2.475,18 January 2019
61,"""Lose Yourself""",Eminem,2.475,28 October 2002
62,"""In The End""",Linkin Park,2.454,9 October 2001
63,"""Flowers""",Miley Cyrus,2.441,13 January 2023
64,"""Treat You Better""",Shawn Mendes,2.417,3 June 2016
65,"""Drivers License""",Olivia Rodrigo,2.415,8 January 2021
66,"""Let Me Love You""",DJ Snake and Justin Bieber,2.411,5 August 2016
67,"""Unforgettable""",French Montana and Swae Lee,2.411,7 April 2017
68,"""One Kiss""",Calvin Harris and Dua Lipa,2.390,6 April 2018
69,"""Kill Bill""",SZA,2.384,9 December 2022
70,"""Good 4 U""",Olivia Rodrigo,2.367,14 May 2021
71,"""Sorry""",Justin Bieber,2.348,22 October 2015
72,"""Sad!""",XXXTentacion,2.346,2 March 2018
73,"""Happier""",Marshmello and Bastille,2.344,16 August 2018
74,"""Jocelyn Flores""",XXXTentacion,2.333,31 October 2017
75,"""There's Nothing Holdin' Me Back""",Shawn Mendes,2.325,20 April 2017
76,"""Sicko Mode""",Travis Scott and Drake,2.310,21 August 2018
77,"""Don't Stop Believin'""",Journey,2.304,19 October 1981
78,"""Smells Like Teen Spirit""",Nirvana,2.303,10 September 1991
79,"""XO Tour Llif3""",Lil Uzi Vert,2.303,24 March 2017
80,"""Cold Heart (Pnau remix)""",Elton John and Dua Lipa with Pnau,2.292,13 August 2021
81,"""Lean On""",Major Lazer with DJ Snake and MØ,2.291,2 March 2015
82,"""Save Your Tears""",The Weeknd,2.271,20 March 2020
83,"""New Rules""",Dua Lipa,2.265,7 July 2017
84,"""Wonderwall""",Oasis,2.261,30 October 1995
85,"""Levitating""",Dua Lipa and DaBaby,2.260,1 October 2020
86,"""Too Good at Goodbyes""",Sam Smith,2.255,8 September 2017
87,"""Stay With Me""",Sam Smith,2.246,14 April 2014
88,"""Don't Stop Me Now""",Queen,2.245,26 January 1979
89,"""Havana""",Camila Cabello and Young Thug,2.231,3 August 2017
90,"""Seven""",Jung Kook and Latto,2.230,14 July 2023
91,"""Uptown Funk""",Mark Ronson and Bruno Mars,2.229,10 November 2014
92,"""Take On Me""",A-ha,2.228,19 October 1984
93,"""The Scientist""",Coldplay,2.218,26 May 2002
94,"""Someone Like You""",Adele,2.212,24 January 2011
95,"""Memories""",Maroon 5,2.206,20 September 2019
96,"""Without Me""",Halsey,2.200,4 October 2018
97,"""See You Again""","Tyler, the Creator and Kali Uchis",2.197,21 July 2017
98,"""Iris""",Goo Goo Dolls,2.181,1 April 1998
99,"""All I Want For Christmas Is You""",Mariah Carey,2.168,29 October 1994
100,"""Till I Collapse""",Eminem and Nate Dogg,2.167,26 May 2002
